id_punto	ora_island_tour_completo
0	
1	08:50
2	08:50
3	08:50
4	08:50
6	08:45
7	
9	08:45
10	08:45
11	08:45
13	
14	08:40
16	08:40
17	08:45
19	08:45
20	08:42
22	08:40
23	08:35
24	08:35
25	08:35
26	08:30
27	08:30
28	08:25
29	08:25
30	
31	08:20
33	08:15
34	08:15
35	
36	08:10
37	08:10
39	08:10
40	08:10
41	08:00
42	07:45
43	07:45
44	07:45
45	07:45
46	07:45
48	
51	08:15
52	
53	
54	
57	
65	08:35
68	08:50
10000	
10007	
10009	07:45
10010	08:45
10011	09:30
10012	09:30
10014	09:20
10015	08:25
10016	08:25
10017	09:30
10018	09:15
10019	
10020	09:25
10023	08:15
10024	08:45
10025	09:30
10028	
10029	09:30
10030	09:30
10032	
10033	09:15
10034	
10035	07:45
10036	07:45
10037	07:30
10038	
10039	
10040	
10041	
10042	
10043	
10044	
10045	
10046	
10047	
10048	
10049	
10050	
10051	
10052	
10053	
10061	
10062	
10063	07:30
10064	08:50
10080	
10084	
10088	
10091	
10093	
10094	
10103	
10109	
10111	
10142	
10150	
10155	08:45
