id_punto	ora_la_gomera
0	
1	07:15
2	07:20
3	07:20
4	07:20
6	07:40
7	
9	07:40
10	07:40
11	07:40
13	
14	07:45
16	07:45
17	07:50
19	07:50
20	07:55
22	07:55
23	08:05
24	08:05
25	08:05
26	08:10
27	08:10
28	08:20
29	08:20
30	
31	08:25
33	08:25
34	08:25
35	
36	08:30
37	08:30
39	08:30
40	08:30
41	
42	07:50
43	07:50
44	07:50
45	07:50
46	07:40
48	
51	08:25
52	
53	07:30
54	
57	07:15
65	08:04
68	07:20
10000	
10007	
10009	07:50
10010	07:40
10011	07:45
10012	07:30
10014	07:50
10015	08:20
10016	08:20
10017	07:30
10018	07:55
10019	07:40
10020	07:40
10023	08:25
10024	07:40
10025	07:30
10028	07:30
10029	07:35
10030	07:35
10032	
10033	08:00
10034	
10035	07:50
10036	07:50
10037	07:40
10038	
10039	
10040	
10041	
10042	
10043	
10044	
10045	
10046	
10047	
10048	
10049	
10050	
10051	
10052	
10053	
10061	
10062	
10063	07:40
10064	07:20
10080	
10084	
10088	
10091	
10093	
10094	
10103	08:00
10109	
10111	
10142	
10150	
10155	07:40
