id_punto	ora_poema_del_mar
0	
1	07:40
2	07:30
3	
4	07:30
6	07:45
7	
9	07:45
10	07:45
11	
13	07:55
14	
16	07:55
17	07:45
19	07:45
20	07:55
22	07:55
23	07:55
24	08:05
25	
26	08:05
27	
28	
29	08:05
30	
31	
33	
34	
35	
36	08:15
37	
39	08:15
40	08:15
41	
42	07:15
43	
44	
45	
46	07:15
48	07:55
51	
52	
53	
54	
57	
65	
68	
10000	
10007	
10009	
10010	
10011	
10012	
10014	
10015	
10016	
10017	
10018	
10019	
10020	
10023	
10024	
10025	
10028	
10029	
10030	07:15
10032	
10033	
10034	
10035	
10036	
10037	
10038	
10039	
10040	
10041	
10042	
10043	
10044	
10045	
10046	
10047	07:50
10048	
10049	
10050	
10051	
10052	
10053	
10061	
10062	
10063	
10064	
10080	07:50
10084	
10088	
10091	
10093	07:45
10094	07:30
10103	
10109	
10111	
10142	
10150	
10155	07:45
