id_punto	ora_santa_cruz_anaga
0	
1	07:15
2	07:20
3	07:20
4	07:20
6	07:40
7	
9	07:40
10	07:40
11	07:40
13	
14	07:50
16	07:50
17	07:55
19	07:55
20	08:00
22	08:00
23	08:05
24	08:05
25	08:05
26	08:10
27	08:10
28	08:15
29	08:15
30	
31	08:20
33	08:20
34	08:20
35	
36	08:25
37	08:25
39	08:25
40	08:25
41	08:35
42	07:50
43	07:50
44	07:50
45	07:50
46	07:50
48	
51	08:20
52	
53	
54	
57	07:15
65	08:04
68	07:20
10000	
10007	
10009	07:50
10010	07:40
10011	07:50
10012	07:40
10014	07:50
10015	08:15
10016	08:15
10017	07:40
10018	07:55
10019	
10020	07:40
10023	08:20
10024	07:40
10025	07:40
10028	
10029	07:40
10030	07:40
10032	
10033	08:00
10034	
10035	07:50
10036	07:50
10037	07:40
10038	09:30
10039	
10040	
10041	
10042	
10043	
10044	
10045	
10046	
10047	
10048	
10049	
10050	
10051	
10052	
10053	
10061	
10062	
10063	07:40
10064	07:20
10080	
10084	
10088	
10091	
10093	
10094	
10103	08:00
10109	
10111	
10142	
10150	
10155	07:40
