id_hotel	nome	id_punto	ora_teide_mezza_giornata
1	PERLA GRIS	1	08:15
2	TROPICAL PARK	1	08:15
3	SUEÑO AZUL	1	08:15
4	APARTAMENTOS ALBATROS( CALLAO SALVAJE)	1	08:15
5	CALLAO GARDEN	1	08:15
6	OASIS PARAISO	2	08:20
7	PARAISO FLORAL	2	08:20
8	ROCA NIVARIA	3	08:20
9	RIU BUENAVISTA	4	08:20
10	BAHIA PRINCIPE COSTA ADEJE	2	08:20
11	HOVIMA JARDIN CALETA	6	08:40
12	H10 COSTA ADEJE PALACE	10155	08:40
13	Tivoli La Caleta (Antiguo sheraton la caleta)	10155	08:40
14	ALTAMIRA	10084	
15	EL BERIL	9	08:40
16	RIU ARECAS	9	08:40
17	RIU PALACE	9	08:40
18	JARDINES DEL TEIDE	10	08:40
19	BAOBAB SUITES	10	08:40
20	LA PLANTACION DEL SUR	10	08:40
21	BAHIA DEL DUQUE	11	08:40
22	MIRADOR DEL DUQUE IBEROSTAR	9	08:40
23	Wyndham Costa Adeje( Antiguo Monterey)	23	09:05
24	REGENCY CLUB TORVISCAS	14	08:50
25	NEPTUNO	16	08:50
26	PANORAMICA HEIGHTS	16	08:50
27	SANTA MONICA	13	
28	MALIBU PARK	14	08:50
29	PARADISE COURT	14	08:50
30	ISLAND VILLAGE	14	08:50
31	Ramada Costa Adeje ( antiguo Paradise club)	16	08:50
32	VILLA TAGORO	16	08:50
33	GRAN TACANDE	17	08:55
34	ANTHELIA	20	09:00
35	COSTA ADEJE GRAN	19	08:55
36	TERRAZAS DEL DUQUE	19	08:55
37	EL DUQUE	19	08:55
38	GF ISABEL	20	09:00
39	HOVIMA SUITES (Labranda Suite C. Adeje)	20	09:00
40	GF FAÑABE	20	09:00
41	PLAYA REAL	20	09:00
42	BAHIA FANABE SUITES	20	09:00
43	VILLA FAÑABE SUITES	20	09:00
44	JACARANDA	20	09:00
45	PARQUE DEL SOL	20	09:00
46	COLON GUANAHANI	20	09:00
47	JARDINES NIVARIA	20	09:00
48	LOS OLIVOS	20	09:00
49	GUAYARMINA	22	09:00
50	SUNWING	22	09:00
51	SOL SUN BEACH	22	09:00
52	ROYAL SUNSET BEACH CLUB	22	09:00
53	YUCCA PARK	20	09:00
54	LAGOS FAÑABE	22	09:00
55	MAREVERDE	22	09:00
56	ORLANDO	22	09:00
57	PRINCESS INSPIRE TENERIFE	22	09:00
58	PLAYA OLID	22	09:00
59	HOVIMA COSTA ADEJE	22	09:00
60	SABILA IBEROSTAR	22	09:00
61	SANTA MARIA	22	09:00
62	LA PINTA	22	09:00
63	AluaSoul Costa Adeje ( Antiguo La niña)	22	09:00
64	PUEBLO TORVISCAS	22	09:00
65	SUNSET BAY	22	09:00
66	SUNSET HARBOUR	22	09:00
67	ORO VERDE	22	09:00
68	BOUGANVILLE	23	09:05
69	LAS DALIAS	23	09:05
70	FLAMINGO BEACH MATE	23	09:05
71	CLUB ATLANTIS	23	09:05
72	LOS GERANIOS	23	09:05
73	VILLA ADEJE BEACH	65	09:05
74	LAGUNA PARK I	23	09:05
75	OCEAN PARK	23	09:05
76	JARDIN TROPICAL	23	09:05
77	TINERFE GARDEN	23	09:05
78	GRAN TINERFE	23	09:05
79	LOS HIBISCOS	23	09:05
80	CORAL OCEAN VIEW	24	09:05
81	CLUB OLYMPUS	23	09:05
82	PONDEROSA	23	09:05
83	PARQUE AMERICAS	23	09:05
84	BORINQUEN	23	09:05
85	LAS FLORES	23	09:05
86	OLE TROPICAL TENERIFE	24	09:05
88	TORRES YOMELI	24	09:05
89	TROYA	24	09:05
90	PALM BEACH CLUB	24	09:05
91	PARAISO DEL SOL	24	09:05
92	CARIBE	24	09:05
93	GALA	24	09:05
94	PLAYA AZUL	24	09:05
95	VANILLA GARDEN	24	09:05
96	ORO BLANCO	24	09:05
97	GREEN GARDEN GOLF RESORT	25	09:05
98	SOL TENERIFE	26	09:10
99	COLON II	26	09:10
100	LAS PALMERAS	26	09:10
101	PARQUE CRISTOBAL	26	09:10
102	PIRAMIDES	27	09:10
103	TAJINASTE	27	09:10
104	COLUMBUS	27	09:10
105	ORO NEGRO	27	09:10
106	CORAL CALIFORNIA	27	09:10
107	BARRANCO	27	09:10
108	FLORITAS	27	09:10
109	TIGOTAN	28	09:15
110	BEST TENERIFE	29	09:15
111	PARQUE SANTIAGO I	29	09:15
112	PARQUE SANTIAGO II	29	09:15
113	PARQUE SANTIAGO III	29	09:15
114	PARQUE SANTIAGO IV	29	09:15
116	OPTIMIST	29	09:15
117	VULCANO	29	09:15
118	ANDORRA	29	09:15
119	LA SIESTA	29	09:15
120	CONQUISTADOR	29	09:15
121	VILLA CORTES	29	09:15
122	PARK CLUB EUROPE	29	09:15
123	SUNPRIME CORAL SUITES & SPA	10015	09:15
124	PARQUE LA PAZ	29	09:15
125	ZENTRAL CENTER	29	09:15
126	MEDITERRANEAN	29	09:15
127	CLEOPATRA	29	09:15
128	SIR ANTHONY	30	
129	TENERIFE ROYAL GARDEN	10016	09:15
130	CORAL COMPOSTELA BEACH	10016	09:15
131	VISTASUR	29	09:15
132	TORRES SOL	30	
133	UDALLA PARK	31	09:20
134	SAINT GEORGE	31	09:20
135	MAROLA PARK	31	09:20
136	EL CARDON	31	09:20
137	AZAHARA	31	09:20
138	MARYLANZA	51	09:20
139	Coral Compostela Golf	51	09:20
140	Villa Mandi Golf Resort	33	09:20
141	LAS MADRIGUERAS	33	09:20
142	OASIS GOLF	33	09:20
143	GRANADA PARK	34	09:20
144	LAS FUENTES	35	
145	SOLMAR	35	
146	LOS ALISIOS	36	09:25
147	HG TENERIFE SUR	36	09:25
148	AGUAMAR	36	09:25
149	CRISTIANSUR	36	09:25
150	LOS CLAVELES	36	09:25
151	SUMMERLAND	36	09:25
152	PARQUE MARGARITA	36	09:25
153	PARADISE PARK	37	09:25
154	DINASTIA	37	09:25
155	OHASIS APARTMENTS (antigüo Oasis Mango)	37	09:25
156	CASTLE HARBOUR	37	09:25
157	EL MIRADOR	37	09:25
158	OLIVINA	37	09:25
159	PARAMOUNT	37	09:25
160	HOLLYWOOD MIRAGE	37	09:25
161	BEVERLY HILLS HIGH	37	09:25
162	BEVERLY HILLS CLUB	37	09:25
163	PORT ROYAL	37	09:25
164	ROYAL PALM	37	09:25
165	DIAMANTES	37	09:25
166	CLUB TENERIFE	37	09:25
167	LOS ANGELES	39	09:25
168	PALOMA BEACH	39	09:25
169	VICTORIA COURT I	39	09:25
170	VICTORIA COURT II	39	09:25
171	ARONA GRAN	39	09:25
172	COSTAMAR	39	09:25
173	Sol Arona Tenerife by Melia	40	09:25
175	ATLANTIDA	40	09:25
176	ANDREAS	40	09:25
177	REVERON PLAZA	40	09:25
178	SUR Y SOL	40	09:25
179	REGENCY COUNTRY CLUB	41	12:15
180	GREEN PARK	42	08:50
181	Wyndham Golf del Sur ( Antiguo Sunningdale)	42	08:50
182	Muthu Royal Park Albatros	42	08:50
183	GOLF PLAZA	42	08:50
184	WINTER GARDEN	42	08:50
185	DUQUESA DEL MAR	42	08:50
186	Alua Atlántico Golf Resort(antiguo aguamarina)	43	08:50
187	APT AGUAMARINA	43	08:50
189	FAIRWAYS	43	08:50
190	PEBBLE BEACH	10009	08:50
191	SCORPIO	10009	08:50
192	Santa Barbara Golf and Ocean Club	44	08:50
193	SAND CLUB	45	08:50
194	Barceló Tenerife ( Sandos San Blas)	10036	08:50
195	THE SALMAR ( VINCI GOLF ANT)	10035	08:50
196	TERRAZAS DE LA PAZ	45	08:50
197	SUNSET VIEW	45	08:50
198	ROYAL TFE COUNTRY CLUB (SAN ANDRES)	46	08:50
200	ALONDRAS PARK	54	
201	LAGUNA PARK II	65	09:05
204	COPACABANA	23	09:05
206	PLAYA FLOR	26	09:10
208	SAN TELMO	35	
209	AMERICAS	24	09:05
215	PARADERO	24	09:05
218	PALIA DON PEDRO	10034	
219	PARADERO II	24	09:05
225	ACHACAY	40	09:25
227	EUCALIPTO	35	
233	CARDONES	26	09:10
249	SAN MARINO	40	09:25
250	GUAYERO	40	09:25
251	COLINA	40	09:25
252	SAINT GEORGE	31	09:20
254	ANNAPURNA - (ALBORADA BEACH CLUB)	52	
255	PANORAMA	23	09:05
256	JARDINES SUR	40	09:25
258	PARQUE ROYAL	22	09:00
259	FLORIDA	41	12:15
261	DORADO	27	09:10
262	CLUB MARINO	54	
265	COMODORO	40	09:25
266	PLAYA HONDA	29	09:15
276	CHAYOFA CLUB	41	12:15
278	BITACORA	29	09:15
281	GARDEN CITY	23	09:05
282	PLAYA GRACIOSA	37	09:25
289	DON JOSE	52	
290	VILLA MAR	23	09:05
291	PARAISO ROYAL	26	09:10
292	MAR Y SOL	37	09:25
293	BIG SUR	40	09:25
294	VILLAS CANARIAS	13	
298	PALO BLANCO	23	09:05
299	THE HEIGHTS	37	09:25
304	MIRAVERDE	22	09:00
319	ROSAMAR	40	09:25
323	PRIMAVERA	52	
326	OASIS GRAN RESORT	10023	09:20
327	PARQUE TROPICAL	37	09:25
329	MARINA PRIMAVERA	52	
330	JARDIN CANARIO	39	09:25
334	PARQUE SAN EUGENIO	23	09:05
335	LA TORTUGA	19	08:55
345	CORTIJO	24	09:05
347	VIÑAS DEL MAR	23	09:05
350	ACAPULCO	23	09:05
351	LAS BRISAS	14	08:50
353	CACTUS	40	09:25
355	CRITIANMAR	40	09:25
356	BALCON DEL MAR	54	
357	URBANIA CLUB	24	09:05
358	PARQUE VERDE	42	08:50
359	GARAJONAY	23	09:05
361	MARAVILLA	53	09:00
364	MARYSOL	37	09:25
367	PARAISO SUR	2	08:20
369	OLIMPIA	24	09:05
370	CRISTIAN MAR	40	09:25
373	EL RINCON	39	09:25
377	LAS VIÑAS	27	09:10
378	SENDYMAR	0	
379	CHAPARRAL	53	09:00
380	ARENAS DEL MAR	10063	08:40
381	ROYAL GARDEN	0	
383	GRAN CALLAO SPORT	57	08:15
384	TIIME HART	0	
385	ADELFAS	42	08:50
386	CHIPEQUE	37	09:25
387	APT EL CARMEN	40	09:25
388	VISTA HERMOSA	37	09:25
389	SUNBAY	10009	08:50
390	PARCIS ROY	0	
