id_punto	nome	n_hotel	ora_teide_mezza_giornata
0	IN HOTEL	29	
1	TITSA CALLAO (REST. NEBULA)	18	08:15
2	TITSA PARAISO AV Playa Paraiso (Titsa 7717) Bahia principe	7	08:20
3	ROCA NIVARIA	1	08:20
4	RIU BUENAVISTA	4	08:20
6	HOVIMA JARDIN CALETA	10	08:40
7		2	
9	RIU ARECAS (bus stop TITSA)	5	08:40
10	JARDINES DEL TEIDE	4	08:40
11	BAHIA DEL DUQUE(Barrera)	1	08:40
13		4	
14	AQUALAND	7	08:50
16	VILLA TAGORO	12	08:50
17	GRAN TACANDE	2	08:55
19	CC DUKE SHOPS	11	08:55
20	HOVIMA SUITES (Labranda Suite C. Adeje)	19	09:00
22	Princess Inspire Tenerife	22	09:00
23	HIBISCOS (Titsa bus stop)	31	09:05
24	OLE TROPICAL PLAYA	22	09:05
25	GARA SUITES (Barrera/Barrier)	2	09:05
26	COLON SANTANDER (Banco Santander esquina)	9	09:10
27	COLUMBUS ( por fuera de recepcion)	11	09:10
28	TIGOTAN	1	09:15
29	BEST TENERIFE (Bus stop)	21	09:15
30		2	
31	UDALLA(BUS STOP Marola Park)	7	09:20
33	Villa Mandi Golf Resort	3	09:20
34	GRANADA (PARADA TAXI bajando cuesta / TAXI RANK down the hill)	1	09:20
35		5	
36	HG TENERIFE SUR	9	09:25
37	CC PASARELA (siam Park bus stop)	21	09:25
39	ARONA GRAN ( RECEPTION)	8	09:25
40	Sol Arona Tenerife by Melia	26	09:25
41		3	12:15
42	Muthu Royal Park Albatros	11	08:50
43	Alua Atlántico Golf Resort(HOTEL RECEPCION)	3	08:50
44	Santa Barbara Golf and Ocean Club	2	08:50
45	SAND CLUB (PARADA TITSA)	3	08:50
46	TITSA SAN ANDRES	1	08:50
48		5	
51	Coral Compostela Golf	2	09:20
52		5	
53		3	09:00
54		10	
57	GRAN CALLAO SPORT(titsa bus stop)	1	08:15
65	VILLA ADEJEBEACH	4	09:05
68	HARD ROCK HOTEL	1	08:20
10000	ARCO ROQUE DEL CONDE	1	08:50
10007		1	
10009	FANTASIA BAHIA PRINCIPE GOLF DEL SUR	6	08:50
10010	ROYAL HIDEAWAY (CORAL SUITES)	1	08:40
10011	SERVATUR ISORA EX ALLERO ISORA ( TITSA BUS STOP)	1	08:45
10012	BARCELÓ SANTIAGO	2	08:35
10014	GRAN MELIA PALACIO DE ISORA	6	08:50
10015	SUNPRIME CORAL SUITES & SPA	1	09:15
10016	CORAL COMPOSTELA BEACH (Enfrente de ZARA safari)	2	09:15
10017	Landmar Costa Los Gigantes	1	08:30
10018	ABAMA Ritz-Carlton (BARRERA )	1	08:55
10019		1	
10020	Playa la Arena(Bus TITSA El Lajial nº8156)	9	08:40
10023	OASIS GRAN RESORT(PARADA TAXI bajando cuesta / TAXI RANK down the hill)	1	09:20
10024	ROYAL GARDEN VILLAS	1	08:40
10025	TITSA bus stop-HARBOUR CLUB( next to Tipsy Bar)	2	08:30
10028	ROYAL RIVER LUXURY	1	08:40
10029	TITSA (Bus Stop) CORREOS (frente Vigilia Park)	13	08:24
10030	TAMAIMO TROPICAL	2	08:35
10032		6	
10033	CLUB HOTEL MARAZUL	4	09:00
10034		3	
10035	THE SALMAR (VINCCI TENERIFE GOLF )	2	08:50
10036	Barceló (Sandos San Blas)	2	08:50
10037	EL MEDANO (TITSA LA IGLESIA)	3	08:40
10038		1	
10039		7	
10040		2	
10041		1	
10042		6	
10043		9	
10044		11	
10045		7	
10046		6	
10047		7	
10048		2	
10049		1	
10050		2	
10051		7	
10052		1	
10053		2	
10061		2	
10062		1	
10063	KN ARENAS DEL MAR - EL MEDANO	1	08:40
10064	H10 ATLANTIC SUNSET (PLAYA PARAISO)	1	08:20
10080		5	
10084	ALTAMIRA	1	
10088	TORRE TEN BEL	1	09:00
10091		1	
10093		1	
10094		6	
10103	PARADA BUS PALM-MAR (SUPERMERCADO DIPLO AV PALMAR 31)	1	09:00
10109		1	
10111		1	
10142		3	
10150		3	
10155	TITSA LA CALETA, LA ENRAMADA (N7162)	2	08:40
